sentiment_6m,alpha_3factor,beta_mkt,factor_score,month,rank,ticker,formation_date
0.0,,,0.0,2019-01,1,AAPL,2018-12-31
0.0,,,0.0,2019-01,2,ABBV,2018-12-31
0.0,,,0.0,2019-01,3,ACGL,2018-12-31
0.0,,,0.0,2019-01,4,ADP,2018-12-31
0.0,,,0.0,2019-01,5,AEE,2018-12-31
0.0,,,0.0,2019-01,6,AJG,2018-12-31
0.0,,,0.0,2019-01,7,ALB,2018-12-31
0.0,,,0.0,2019-01,8,ALLE,2018-12-31
0.0,,,0.0,2019-01,9,AMZN,2018-12-31
0.0,,,0.0,2019-01,10,APA,2018-12-31
0.0087466627832443,0.4465328664048667,0.6548371407434022,0.8733333333333334,2019-02,1,NRG,2019-01-31
0.0003056939504055119,0.4111858961992485,0.7624319866523429,0.8733333333333334,2019-02,2,LLY,2019-01-31
0.006325307819578383,0.24316432308736163,0.628227379822557,0.8133333333333334,2019-02,3,CME,2019-01-31
5.7701361439530813e-05,0.24221531272644412,0.49287953971756043,0.78,2019-02,4,HRL,2019-01-31
0.005641391885185998,0.23755498557063098,0.18841487095523615,0.7266666666666667,2019-02,5,AEE,2019-01-31
0.0002312122711113521,0.2363827977691242,0.24993922885769648,0.7133333333333334,2019-02,6,VTR,2019-01-31
0.0006281527143622202,0.20099141810959084,0.27315284827160086,0.6933333333333335,2019-02,7,ATO,2019-01-31
0.003665913901631794,0.18686758660611077,0.1382573878955157,0.6333333333333334,2019-02,8,CMS,2019-01-31
7.95654183815396e-05,0.050925955352007404,0.9865430102209738,0.6266666666666667,2019-02,9,ORCL,2019-01-31
3.73003560872305e-05,0.10115604287314567,0.9056036015852078,0.6266666666666667,2019-02,10,DHR,2019-01-31
0.012417882428967722,0.24949110863435583,1.0115639409042703,0.9066666666666667,2019-03,1,ADP,2019-02-28
0.00740971595108036,0.424405598831686,0.5568283606713869,0.8666666666666667,2019-03,2,NRG,2019-02-28
0.005646119766410381,0.2825902209748213,0.1539356369213584,0.8066666666666668,2019-03,3,AEE,2019-02-28
0.010801053945980375,0.2294384199871117,0.7335508751391113,0.7533333333333334,2019-03,4,MSI,2019-02-28
0.003665913901631794,0.25171719861162273,0.0764545939528087,0.7533333333333334,2019-03,5,CMS,2019-02-28
0.0009405858927182308,0.20303979968561334,0.8960023279935168,0.7133333333333334,2019-03,6,DHR,2019-02-28
0.0014093941461945337,0.2426138487652083,0.07804537817976545,0.7066666666666667,2019-03,7,WEC,2019-02-28
0.0006281527143622202,0.21814254944105693,0.24671298363838906,0.6866666666666668,2019-03,8,ATO,2019-02-28
0.004318094147103173,0.15116021292393844,1.068310954221519,0.6866666666666666,2019-03,9,FAST,2019-02-28
0.000644419164884658,0.21688636507388953,0.3346163290940358,0.6666666666666667,2019-03,10,CLX,2019-02-28
0.013975711381087505,0.24176407849249315,0.966460776549985,0.9600000000000001,2019-04,1,ADP,2019-03-29
0.0038698851943962157,0.2655728463028498,0.19694888346349448,0.8400000000000001,2019-04,2,VTR,2019-03-29
0.006588920093481504,0.2150934345362895,0.8837136326256094,0.8333333333333334,2019-04,3,WMB,2019-03-29
0.010280663783233317,0.21860846118525348,0.5937277336471996,0.8066666666666668,2019-04,4,NRG,2019-03-29
0.007177542835947067,0.2027856546760634,1.143502031511973,0.8,2019-04,5,AVGO,2019-03-29
0.005646119766410381,0.23997996822245482,0.15041591960836326,0.78,2019-04,6,AEE,2019-03-29
0.0031444396541899997,0.18382290872672866,0.8946426318889962,0.74,2019-04,7,DHR,2019-03-29
0.004318094147103173,0.1632451769176093,1.033891878100262,0.7133333333333334,2019-04,8,FAST,2019-03-29
0.004188732022330875,0.18433790560628907,0.40466547741223075,0.6733333333333333,2019-04,9,CLX,2019-03-29
0.013994486953215623,0.17938782890544647,0.7702164410626073,0.6666666666666666,2019-04,10,MSI,2019-03-29
0.004318094147103173,0.29581150049659016,1.01909943024367,0.9866666666666667,2019-05,1,FAST,2019-04-30
0.007988073178148142,0.2705028600914029,1.1696001141616144,0.9000000000000001,2019-05,2,AVGO,2019-04-30
0.013338350245812858,0.17939352889919863,0.9918118435216683,0.8866666666666667,2019-05,3,ADP,2019-04-30
0.0036832275135176523,0.21415844146015126,0.7558429539395192,0.8333333333333335,2019-05,4,DG,2019-04-30
0.004379036466753672,0.2645550081485613,0.3742786077520653,0.8066666666666666,2019-05,5,CLX,2019-04-30
0.004068192133985499,0.1707138400015699,0.8548867788236338,0.7733333333333334,2019-05,6,ACGL,2019-04-30
0.0038698851943962157,0.17126946098180368,0.21340104567815432,0.7133333333333334,2019-05,7,VTR,2019-04-30
0.00979783468776279,0.16505037634643105,1.446042443808456,0.6933333333333334,2019-05,8,MPWR,2019-04-30
0.005148792112118038,0.15128007337883576,0.8988837926506894,0.6933333333333334,2019-05,9,WMB,2019-04-30
0.013994486953215623,0.1470123926142623,0.7676675507931118,0.6266666666666667,2019-05,10,MSI,2019-04-30
0.004068192133985499,0.30034536956827906,0.8409543580072221,0.9066666666666667,2019-06,1,ACGL,2019-05-31
0.0036832275135176523,0.31201962526460003,0.7784154602856711,0.9066666666666667,2019-06,2,DG,2019-05-31
0.009388485820707223,0.24539141831579295,1.088428135093131,0.8800000000000001,2019-06,3,GPN,2019-05-31
0.004318094147103173,0.2323102433982728,1.0496945562786755,0.8666666666666667,2019-06,4,FAST,2019-05-31
0.013994486953215623,0.26902386455119554,0.7872016716000173,0.8600000000000001,2019-06,5,MSI,2019-05-31
0.0036275904803048996,0.1973420408460549,0.9775128912027451,0.8600000000000001,2019-06,6,UAL,2019-05-31
0.009420567610406296,0.17929156225422266,0.8352193576525515,0.7666666666666668,2019-06,7,DHR,2019-05-31
0.005053826819651972,0.17428376850601465,1.0178257583393036,0.76,2019-06,8,SNPS,2019-05-31
0.018185151363944725,0.17733400415378525,0.2794678695445205,0.6666666666666667,2019-06,9,SRE,2019-05-31
0.0038698851943962157,0.17438763299601517,0.2013023362216436,0.6333333333333333,2019-06,10,VTR,2019-05-31
0.004318094147103173,0.29385435766541407,1.0999451849990558,0.9400000000000001,2019-07,1,FAST,2019-06-28
0.012411707056262506,0.24272475445416267,1.054467149118765,0.9000000000000001,2019-07,2,SNPS,2019-06-28
0.013994486953215623,0.27317354265384747,0.7942161318386028,0.8733333333333334,2019-07,3,MSI,2019-06-28
0.025101870765525197,0.288068376198919,1.380431971654696,0.8666666666666668,2019-07,4,FSLR,2019-06-28
0.009388485820707223,0.2246099895376766,1.045779306463158,0.8533333333333334,2019-07,5,GPN,2019-06-28
0.011080719483190195,0.2380745651581573,0.8037336247716963,0.8266666666666667,2019-07,6,DHR,2019-06-28
0.015091576098325786,0.19305346681392346,0.9322652120001894,0.8000000000000002,2019-07,7,ORCL,2019-06-28
0.007650701908601655,0.17309711904569458,0.7731457027725541,0.7066666666666667,2019-07,8,TRV,2019-06-28
0.007500757685019856,0.14611997131398946,1.0833863562365726,0.6799999999999999,2019-07,9,PNC,2019-06-28
